id,title,category,geography,crops,use_ml,use_rag,priority,url,notes
sen_aas_2022_2023,Senegal Annual Agricultural Survey 2022-2023,survey,national,multi,yes,yes,high,https://microdata.fao.org/index.php/catalog/2522/study-description,Official survey coverage across all 45 departments and includes horticulture and fruit growing
sen_agridata_mil,AGRIDATA Production Mil,time_series,national,millet,yes,yes,high,https://agridata.ansd.sn/dataset/af8f6f25-a60b-4622-81c7-2dc0bdc00d7a/resource/6c5fe9c4-f0f5-4eba-b2e0-14631a077415/download/dapsa.xlsx,Official DAPSA yearly production series with usable values
sen_agridata_groundnut,AGRIDATA Production Arachide,time_series,national,groundnut,yes,yes,high,https://agridata.ansd.sn/dataset/0850be0a-43eb-4b64-b2ff-2061b143f906/resource/0ee6f062-2c0c-4516-bcab-5effc23f0da8/download/dapsa_ind18.xlsx,Official DAPSA yearly production series with usable values
sen_agridata_mango,AGRIDATA Production Mangue,metadata,national,mango,limited,yes,medium,https://agridata.ansd.sn/dataset/1610fef9-5139-41ef-aecd-7506b25b21d8/resource/d83fb1d9-058d-474d-aac5-ab0a3f81a6aa/download/dhort_ind16.xlsx,Current downloadable file appears metadata-only and should not be treated as clean production data
sen_anacim_aug_2023,ANACIM Agrometeorological Bulletin late August 2023,bulletin,regional,multi,yes,yes,high,https://www.anacim.sn/IMG/pdf/bulletin_dec3_aout_2023.pdf,Useful for rainfall normals pest pressure and market price context
sen_worldbank_climate,World Bank Climate Knowledge Portal Senegal,historical_climate,national,multi,yes,yes,high,https://climateknowledgeportal.worldbank.org/country/senegal/climate-data-historical,Observed historical climatology for 1991-2020 and monthly seasonality context
sen_rvo_mango,RVO Senegal Agricultural Value Chain Study,value_chain_report,regional,mango,yes,yes,high,https://english.rvo.nl/sites/default/files/2021/02/Senegal-Agricultural-Value-Chain-Study.pdf,Best source found for Niayes Casamance export window processing and post-harvest constraints
sen_fao_mango_ph,FAO Mango Post-Harvest Operations,manual,generic,mango,limited,yes,high,https://www.fao.org/fileadmin/user_upload/inpho/docs/Post_Harvest_Compendium_-_Mango.pdf,Use as post-harvest best-practice RAG context and synthetic rule prior only
sen_fao_millet_losses,FAO Senegal millet storage losses,manual,generic_with_senegal_case,millet,limited,yes,medium,https://www.fao.org/4/AC301E/AC301e04.htm,Includes Senegal storage-loss reference around 2.2 percent over 30 months in traditional granaries
sen_fao_millet_sand,FAO sorghum and millets in human nutrition,manual,generic_with_senegal_case,millet,limited,yes,medium,https://www.fao.org/4/t0818e/T0818E08.htm,Includes Senegal note that mixing properly dried grain with 30 percent sand reduced storage losses
sen_iita_aflasafe,IITA Senegal Country Status Report on Aflasafe,technical_report,regional,groundnut maize millet,yes,yes,high,https://www.iita.org/wp-content/uploads/2021/03/Senegal-Country-Status-Report_Final-161120.pdf,High-value source for aflatoxin risk and storage-related anomaly generation
sen_masae_groundnut,MASAE note on cribles and tarares,policy_note,national,groundnut,no,yes,medium,https://agriculture.gouv.sn/modernisation-agricole-au-service-du-developpement-reintroduction-des-cribles-et-tarares-pour-une-filiere-arachide-competitive/,Recent Senegal government operational context for the groundnut chain
